No;Autor;UO;Função;Eh;Subfunção;Localização;Subtítulo;Qtde;Unidade;Valor
1;Luzia de Paula (Alírio);DER-DF;Urbanismo;Não é evento;Desenvolvimento urbano;X-Guará;Realização de obras de pavimentação asfáltica no Setor Joquei Clube;5.000;m2;1.500.000,00
2;Luzia de Paula (Alírio);AR Guará;Urbanismo;Não é evento;Desenvolvimento urbano;X-Guará;Realização de obras de urbanização e Infraestrutura em diversas localidades do Guará;10.000;m2;2.300.000,00
3;Luzia de Paula (Alírio);AR Guará;Energia;Não é evento;Infra-Estrutura urbana;X-Guará;Ampliação dos pontos de iluminação pública;150;luminária;300.000,00
4;Luzia de Paula (Alírio);AR Guará;Desporto e Lazer;Não é evento;Desporto Comunitário;X-Guará;Construção de campo sintético de futebol amador no Guará;500;m2;1.000.000,00
5;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do 12o Encontro de Violeiros;1;evento;150.000,00
6;Luzia de Paula (Alírio);AR Guará;Urbanismo;Não é evento;Infra-Estrutura urbana;X-Guará;Construção de pista para a prática de cooper e caminhadas no Guará;3.000;m2;400.000,00
7;Luzia de Paula (Alírio);AR Guará;Urbanismo;Não é evento;Infra-Estrutura urbana;X-Guará;Construção de Pontos de Encontro Comunitários - PEC no Guará;4;PEC;400.000,00
8;Luzia de Paula (Alírio);AR Guará;Desporto e Lazer;Não é evento;Lazer;X-Guará;Construção de playgrounds em diversos locais do Guará;5;play-ground;300.000,00
9;Luzia de Paula (Alírio);AR Guará;Desporto e Lazer;Não é evento;Desporto Comunitário;X-Guará;Construção de diversas quadras poliesportivas no Guará;1.200;m2;300.000,00
10;Luzia de Paula (Alírio);AR Recanto das Emas;Desporto e Lazer;Não é evento;Infra-Estrutura urbana;XV-Recanto das Emas;Construção de Pontos de Encontro Comunitários - PEC em Água Quente;1;PEC;100.000,00
11;Luzia de Paula (Alírio);Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Construção de Pontos de Encontro Comunitários - PEC em Ceilândia;5;PEC;500.000,00
12;Luzia de Paula (Alírio);Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Construção do Estacionamento do HRC;3.000;m2;350.000,00
13;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização da Semana da África;1;evento;150.000,00
14;Luzia de Paula (Alírio);AR Águas Claras;Urbanismo;Não é evento;Infra-Estrutura urbana;XX-Águas Claras;Construção da Praça Ipê Amarelo em Águas Claras;3.000;m2;150.000,00
15;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do Festival da Arte e da Cultura Candanga - FACC;1;evento;300.000,00
16;Luzia de Paula (Alírio);SE Criança;Cultura;Evento;Difusão cultural;DF;Exibição de filmes cinematorgáficos nas unidades do sistema socio-educativo da Sec. Da Criança;100;evento;250.000,00
17;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização do Dia do Sertanejo;1;evento;225.000,00
18;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do Dia do Estudante (umesb);1;evento;200.000,00
19;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização de eventos culturais das paróquias São Marcos e São Lucas em Ceilândia ;4;evento;200.000,00
20;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do evento Viva Arte Via;1;evento;100.000,00
21;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização da Semana de Arte e Cultura de Ceilândia;1;evento;100.000,00
22;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização da Caravana da Igualdade Racial;1;evento;150.000,00
23;Luzia de Paula (Alírio);SE Justiça;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Construção de galpão e reforma das instalações prediais da Junta de Serviço Militar;500;m2;350.000,00
24;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio ao lançamento do CD Cantando São Francisco do Rio Abaixo nas escolas;1;evento;100.000,00
25;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização do evento Tributo ao Rei Roberto Carlos;1;evento;90.000,00
26;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização do Festival de Música Cristã;1;evento;100.000,00
27;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização de 10 edições do evento Andança Sertaneja;10;evento;400.000,00
28;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização do Festival Internacional de Bonecos;1;evento;100.000,00
29;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização de 7 eventos relativos a aniversários de bairros de Ceilândia;7;evento;350.000,00
30;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização da Festa de Criança no Sol Nascente;1;evento;200.000,00
31;Luzia de Paula (Alírio);Novacap;Desporto e Lazer;Não é evento;Desporto Comunitário;IX-Ceilândia;Construção de 4 quadras de esportes ;2.500;m2;600.000,00
32;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização do Arraiá da Feira do Produtor em Ceilândia;1;evento;225.000,00
33;Luzia de Paula (Alírio);AR Recanto das Emas;Desporto e Lazer;Não é evento;Desporto Comunitário;XV-Recanto das Emas;Construção de quadra poliesportiva no Setor Habitacional Água Quente;500;m2;150.000,00
34;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização da Festa Junina da Guariroba;1;evento;100.000,00
35;Luzia de Paula (Alírio);Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Realização de obras de revitalização da Feira do Produtor de Ceilândia;800;m2;300.000,00
36;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do evento Itinerância Forrozeira;3;evento;150.000,00
37;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do evento Vaqueijada JC;1;evento;200.000,00
38;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização do evento Folia de Reis;1;evento;200.000,00
39;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização de 10 edições do evento Radio Feira Show;10;evento;400.000,00
40;Luzia de Paula (Alírio);SE Esporte;Desporto e Lazer;Evento;Desporto Comunitário;IX-Ceilândia;Apoio à realização de eventos esportivos (Leão de Judá);2;evento;60.000,00
41;Arlete Sampaio;SEDEST;Assistência Social;Não é evento;Ass. Criança / Adolescente;DF;Apoio à entidades que atuam na área de assistência social;1;pessoa;390.000,00
42;Arlete Sampaio;Jardim Botânico;Agricultura ;Evento;Subfunção não informada;DF;Apoio a eventos de divulgação do cultivo de orquídeas;2;evento;40.000,00
43;Arlete Sampaio;SE Cultura;Cultura;Não é evento;Patrimônio histórico;DF;Apoio financeiro ao Instituto Histórico e Geográfico do DF;1;projeto;100.000,00
44;Arlete Sampaio;AR Lago Norte;Gestão Ambiental;Não é evento;Revitalização de parques;XVIII-Lago Norte;Revitalização do Parque Vivencial II;1;parque;100.000,00
45;Arlete Sampaio;SE Cultura;Cultura;Evento;Difusão cultural;XII-Samambaia;Apoio à Realização da Paixão do Cristo Negro;1;evento;100.000,00
46;Arlete Sampaio;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização de Via Sacra em Taguatinga, Planaltina e Paranoá;3;evento;300.000,00
47;Arlete Sampaio;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização de eventos culturais;11;evento;1.340.000,00
48;Arlete Sampaio;Fundo de Saúde;Saúde;Não é evento;Tecnologia da Informação;DF;Modernização de sistemas de informação - FEPECS;1;sistema;100.000,00
49;Arlete Sampaio;Fundo de Saúde;Saúde;Não é evento;Ass. Hospitalar;DF;Estruturação dos bancos de leite dos Hospitais de Brazlândia e Planaltina;2;prédio;200.000,00
50;Arlete Sampaio;CEAJUR;Justiça;Não é evento;Ass. Jurídica;DF;Projeto Defensor da Comunidade;1;sistema;250.000,00
51;Arlete Sampaio;SE Educação;Educação;Não é evento;Educação Básica;DF;Implantação de Educação Infantil em tempo integral;3;creche;1.500.000,00
52;Arlete Sampaio;AR Planaltina;Desporto e Lazer;Não é evento;Desporto Comunitário;VI-Planaltina;Construção de quadras de esportes com iluminação na Vila de Fátima e no Vale do Amanhecer;1;quadra;200.000,00
53;Arlete Sampaio;AR Cruzeiro;Urbanismo;Não é evento;Infra-Estrutura urbana;XI-Cruzeiro;Execução de obras de urbanização, inclusive da quadra 1101 do Cruzeiro Novo;1;área;500.000,00
54;Arlete Sampaio;SEDEST;Assistência Social;Não é evento;Ass. Criança / Adolescente;DF;Construção de Centro de Referência da Assistência Social;3;centro;1.000.000,00
55;Arlete Sampaio;SE Agricultura;Agricultura ;Não é evento;Extensão rural;DF;Promoção do desenvolvimento da Agricultura Familiar e da AgroEcologia;1;família;200.000,00
56;Arlete Sampaio;AR Riacho Fundo II;Urbanismo;Não é evento;Infra-Estrutura urbana;XXI-Riacho Fundo II;Urbanização de praças e PEC;1;praça;100.000,00
57;Arlete Sampaio;AR Brazlândia;Urbanismo;Não é evento;Infra-Estrutura urbana;IV-Brazlândia;Construção de praça com área de lazer no Setor Veredas;1;praça;200.000,00
58;Arlete Sampaio;SE Educação;Educação;Não é evento;Educação Básica;DF;Reforma de unidade de ensino médio;4;escolas;1.000.000,00
59;Arlete Sampaio;Instituto do Meio Ambiente;Gestão Ambiental;Não é evento;Preservação ambiental;XII-Samambaia;Apoio ao cercamento do Parque Guatumé e revitalização do Parque Três Meninas;2;parque;250.000,00
60;Arlete Sampaio;AR Sobradinho;Urbanismo;Não é evento;Infra-Estrutura urbana;V-Sobradinho;Execução de obras de urbanização;1;área;200.000,00
61;Arlete Sampaio;AR Brasília;Energia;Não é evento;Infra-Estrutura urbana;I-Plano Piloto;Ampliação dos pontos de iluminação pública;1;luminária;200.000,00
62;Arlete Sampaio;AR Brasília;Desporto e Lazer;Não é evento;Desporto Comunitário;I-Plano Piloto;Construção de ginásio de multiplas funções;1;ginásio;400.000,00
63;Arlete Sampaio;AR Guará;Desporto e Lazer;Não é evento;Desporto Comunitário;X-Guará;Reforma de ginásio de esportes;1;ginásio;200.000,00
64;Arlete Sampaio;AR Sudoeste/Octogonal;Urbanismo;Não é evento;Infra-Estrutura urbana;XXII-Sudoeste/Octogonal;Urbanização da área pública situada entre o Ciman e a Octogonal 4;1;área;80.000,00
65;Arlete Sampaio;AR Gama;Urbanismo;Não é evento;Infra-Estrutura urbana;II-Gama;Implantação de PEC e Kit Malhação Praça 4, Setor Sul e Quadra 31, Setor Oeste;2;praça;300.000,00
66;Arlete Sampaio;AR SCIA;Desporto e Lazer;Não é evento;Desporto Comunitário;XXV-SCIA (Estrutural);Reforma de quadra esportiva na Estrutural;1;quadra;150.000,00
67;Arlete Sampaio;AR Ceilândia;Cultura;Não é evento;Difusão cultural;IX-Ceilândia;Promoção de projetos culturais;1;projeto;200.000,00
68;Arlete Sampaio;AR São Sebastião;Desporto e Lazer;Não é evento;Desporto Comunitário;XIV-São Sebastião;Cobertura e construção de banheiros e vestiários em quadra poliesportivo do bairro Vila Boa;1;quadra;200.000,00
69;Arlete Sampaio;AR Samambaia;Urbanismo;Não é evento;Infra-Estrutura urbana;XII-Samambaia;Urbanização da quadra 402 conj 29/30/32, com implantação de parque infantil;1;praça;200.000,00
70;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Promoção da qualidade de vida no trabalho e bem estar social dos servidore da CLDF;0;Unidade não informada;150.000,00
71;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Admin. Pessoal;I-Plano Piloto;Administração de pessoal;0;Unidade não informada;6.143.392,00
72;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Manutenção de serviços administrativos gerais - Serviços de Segurança;0;Unidade não informada;3.000.000,00
73;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Manutenção de serviços administrativos gerais;0;Unidade não informada;1.856.608,00
74;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Manutenção de serviços administrativos gerais;0;Unidade não informada;191.956,00
75;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Manutenção de serviços administrativos gerais;0;Unidade não informada;308.044,00
76;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Admin. Pessoal;I-Plano Piloto;Administração de pessoal;0;Unidade não informada;856.608,00
77;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Manutenção de serviços administrativos gerais;0;Unidade não informada;5.000.000,00
78;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Admin. Pessoal;I-Plano Piloto;Administração de pessoal;0;Unidade não informada;8.000.000,00
79;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Admin. Pessoal;I-Plano Piloto;Administração de pessoal;0;Unidade não informada;6.700.546,00
80;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Admin. Pessoal;I-Plano Piloto;Administração de pessoal;0;Unidade não informada;43.000.000,00
81;Mesa Diretora;CLDF;Comunicação Social;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Publicidade e propaganda - funcionamento da TV Legislativa;0;Unidade não informada;3.000.000,00
82;Mesa Diretora;CLDF;Comunicação Social;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Publicidade e propaganda - funcionamento da TV Legislativa;0;Unidade não informada;3.000.000,00
83;Mesa Diretora;CLDF;Comunicação Social;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Publicidade e propaganda - funcionamento da TV Legislativa;0;Unidade não informada;1.057.160,00
84;Mesa Diretora;CLDF;Comunicação Social;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Publicidade e propaganda - funcionamento da Radio Legislativa;0;Unidade não informada;257.160,00
85;Mesa Diretora;CLDF;Comunicação Social;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Publicidade e propaganda - funcionamento da TV Legislativa;0;Unidade não informada;242.840,00
86;Mesa Diretora;CLDF;Saúde;Não é evento;Ass. Hospitalar;I-Plano Piloto;Manutenção do Fundo de Assistência à Saude dos funionários da CLDF;0;Unidade não informada;77.349,00
87;Mesa Diretora;CLDF;Saúde;Não é evento;Ass. Hospitalar;I-Plano Piloto;Manutenção do Fundo de Assistência à Saude dos funionários da CLDF;0;Unidade não informada;265.491,00
88;Mesa Diretora;CLDF;Comunicação Social;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Publicidade e propaganda - funcionamento da Radio Legislativa;0;Unidade não informada;1.542.840,00
89;Mesa Diretora;CLDF;Encargos Especiais;Não é evento;Outros encargos;I-Plano Piloto;Ressarcimentos, indenizações e restituições;0;Unidade não informada;100.000,00
90;Mesa Diretora;CLDF;Admin. Geral;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Manutenção de serviços administrativos gerais;0;Unidade não informada;2.457.160,00
91;Mesa Diretora;CLDF;Tecnologia da Informação;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Gestão da Informação e dos Sistemas de TI;0;Unidade não informada;764.000,00
92;Mesa Diretora;CLDF;Comunicação Social;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Publicidade e propaganda institucional;0;Unidade não informada;24.000.000,00
93;Mesa Diretora;CLDF;Comunicação Social;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Publicidade e propaganda institucional;0;Unidade não informada;500.000,00
94;Mesa Diretora;CLDF;Comunicação Social;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Publicidade e propaganda institucional;0;Unidade não informada;1.200.000,00
95;Mesa Diretora;CLDF;Saúde;Não é evento;Ass. Hospitalar;I-Plano Piloto;Manutenção do Fundo de Assistência à Saude dos funionários da CLDF;0;Unidade não informada;858.509,00
96;Mesa Diretora;CLDF;Saúde;Não é evento;Ass. Hospitalar;I-Plano Piloto;Manutenção do Fundo de Assistência à Saude dos funionários da CLDF;0;Unidade não informada;1.774.500,00
97;Mesa Diretora;CLDF;Tecnologia da Informação;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Gestão da Informação e dos Sistemas de TI;0;Unidade não informada;3.345.000,00
98;Arlete Sampaio;SEDEST;Direitos da Cidadania;Não é evento;Dir. Individuais, Coletivos;DF;Apoio à ações de Prevenção e Combate à Homofobia;1;ação;100.000,00
99;Arlete Sampaio;SE Casa Civil;Direitos da Cidadania;Não é evento;Segurança Pública;DF;Capacitação de servidores públicos na temática de Gênero, Raça e Violência contra as Mulheres;0;Unidade não informada;200.000,00
100;Arlete Sampaio;SE Governo;Direitos da Cidadania;Não é evento;Dir. Individuais, Coletivos;DF;Implantação dos Centros da Juventude;1;projeto;500.000,00
101;Arlete Sampaio;SE Governo;Direitos da Cidadania;Não é evento;Dir. Individuais, Coletivos;DF;Implantação da Política Distrital da Juventude e Comemorações do Mês da Juventude ;1;pessoa;250.000,00
102;Arlete Sampaio;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Promoção de ações do Plano Distrital do Livro e Leitura, e eventos nas bibliotecas públicas;1;projeto;400.000,00
103;Arlete Sampaio;SE Casa Civil;Direitos da Cidadania;Evento;Dir. Individuais, Coletivos;DF;Apoio às comemorações do Dia da Consciência Negra (e dos aniversários das leis referentes);1;ação;250.000,00
104;Arlete Sampaio;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do Festival de Ópera - Orquestra Sinfônica do Teatro Nacional;1;orquestra;500.000,00
105;Arlete Sampaio;SE Criança;Direitos da Cidadania;Não é evento;Ass. Criança / Adolescente;DF;Apoio à estruturação dos Conselhos Tutelares;33;conselho;300.000,00
106;Arlete Sampaio;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Revitalização e reforma de espaços culturais no DF;0;Unidade não informada;500.000,00
107;Arlete Sampaio;SE Obras;Cultura;Não é evento;Difusão cultural;VI-Planaltina;Construção de complexo cultural;1;centro;500.000,00
108;Celina Leão;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à eventos ;20;evento;2.700.000,00
109;Celina Leão;SE Obras;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Execução de obras de urbanização;20.000;m2;10.800.000,00
110;Benedito Domingos;SE Obras;Segurança Pública;Não é evento;Segurança Pública;III-Taguatinga;Construção da nova sede da 12a Delegacia de Polícia;1;prédio;200.000,00
111;Benedito Domingos;SE Obras;Comércio e Serviços;Não é evento;Infra-Estrutura urbana;DF;Reforma de feiras;2.000;m2;400.000,00
112;Benedito Domingos;SE Obras;Urbanismo;Não é evento;Infra-Estrutura urbana;III-Taguatinga;Execução de obras de urbanização e melhorias no Taguaparque;1.000;m2;400.000,00
113;Benedito Domingos;SE Cultura;Cultura;Evento;Difusão cultural;DF;Incentivo a atividades socio-culturais ;20;evento;1.500.000,00
114;Benedito Domingos;SE Obras;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Execução de obras de infra-estrutura urbana;10.000;m2;3.000.000,00
115;Benedito Domingos;SE Cultura;Cultura;Evento;Difusão cultural;DF;Fomento a arte e cultura;20;evento;1.500.000,00
116;Benedito Domingos;SE Obras;Desporto e Lazer;Não é evento;Infra-Estrutura urbana;DF;Reforma de espaços esportivos;3;espaço;500.000,00
117;Benedito Domingos;SE Esporte;Desporto e Lazer;Não é evento;Desporto Comunitário;DF;Apoio ao Esporte e Lazer;4;projeto;800.000,00
118;Benedito Domingos;SE Obras;Assistência Social;Não é evento;Ass. Portador Deficiência;III-Taguatinga;Construção do Centro de Convivência para Portadores de Necessidades Especiais, Surdos e Mudos;1;centro;200.000,00
119;Benedito Domingos;SE Obras;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Construção de estacionamentos públicos;10.000;m2;500.000,00
120;Benedito Domingos;SE Obras;Urbanismo;Não é evento;Infra-Estrutura urbana;X-Guará;Execução de obras de infra-estrutura urbana;1.000;m2;600.000,00
121;Benedito Domingos;SE Obras;Urbanismo;Não é evento;Infra-Estrutura urbana;III-Taguatinga;Execução de obras de urbanização e melhorias no Set. de Mansões;1.000;m2;200.000,00
122;Benedito Domingos;AR SCIA;Urbanismo;Não é evento;Infra-Estrutura urbana;XXV-SCIA (Estrutural);Execução de obras de infra-estrutura urbana;1.000;m2;600.000,00
123;Benedito Domingos;AR Águas Claras;Urbanismo;Não é evento;Infra-Estrutura urbana;XX-Águas Claras;Execução de obras de infra-estrutura urbana;1.000;m2;600.000,00
124;Benedito Domingos;AR Itapoã;Urbanismo;Não é evento;Infra-Estrutura urbana;XXVIII-Itapoã;Execução de obras de infra-estrutura urbana;1.000;m2;600.000,00
125;Benedito Domingos;AGEFIS;Administração;Não é evento;Tecnologia da Informação;DF;Apoio para ações de desenvolvimento de solução corporativa informatizada;1;sistema;300.000,00
126;Benedito Domingos;AR Cruzeiro;Urbanismo;Não é evento;Infra-Estrutura urbana;XI-Cruzeiro;Execução de obras de infra-estrutura urbana;1.000;m2;600.000,00
127;Benedito Domingos;Jardim Zoológico;Gestão Ambiental;Não é evento;Preservação ambiental;DF;Execução de obras e melhorias ;2.000;m2;400.000,00
128;Benedito Domingos;PCDF;Segurança Pública;Não é evento;Infra-Estrutura urbana;DF;Execução de reforma e ampliação do Instituto de Identificação da PCDF;2.000;m2;200.000,00
129;Benedito Domingos;Novacap;Desporto e Lazer;Não é evento;Desporto Comunitário;DF;Construção de P.E.C.s;1.000;m2;400.000,00
130;Aylton Gomes;SE Obras;Urbanismo;Não é evento;Infra-Estrutura urbana;VI-Planaltina;Realização de diversas obras de urbanização, construção e reforma;20.000;m2;450.000,00
131;Aylton Gomes;AR Ceilândia;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Realização de diversas obras de urbanização, construção e reforma;10.000;m2;300.000,00
132;Aylton Gomes;AR Itapoã;Urbanismo;Não é evento;Infra-Estrutura urbana;XXVIII-Itapoã;Realização de diversas obras de urbanização, construção e reforma;50.000;m2;900.000,00
133;Aylton Gomes;Novacap;Cultura;Não é evento;Difusão cultural;VI-Planaltina;Construção da Casa da Cultura;1;centro;200.000,00
134;Aylton Gomes;AR Recanto das Emas;Urbanismo;Não é evento;Infra-Estrutura urbana;XV-Recanto das Emas;Realização de diversas obras de urbanização, construção e reforma;10.000;m2;300.000,00
135;Aylton Gomes;Novacap;Urbanismo;Não é evento;Desporto Comunitário;VI-Planaltina;Construção de piscina no 9o GBM ;0;espaço;150.000,00
136;Aylton Gomes;Fundo de Saúde;Saúde;Não é evento;Atenção básica à saúde;VI-Planaltina;Construção de UTI no HR Planaltina;10.000;m2;100.000,00
137;Aylton Gomes;SEDEST;Administração;Não é evento;Comunicação Social;DF;Publicidade e propaganda da SEDEST;0;Unidade não informada;3.000.000,00
138;Aylton Gomes;SE Segurança;Segurança Pública;Não é evento;RH;DF;Capacitação de agentes de Segurança Pública;500;pessoa;50.000,00
139;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;VI-Planaltina;Realização da Festa do Padroeiro na Paróquia São Vicente de Paulo;1;evento;100.000,00
140;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;VI-Planaltina;Realização da Festa do Divino Espírito Santo;1;evento;150.000,00
141;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;VI-Planaltina;Realização da Grande Cruzada Evangelística;1;evento;150.000,00
142;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;DF;Realização da Festa do Boi de Seu Teodoro;1;evento;100.000,00
143;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;XVI-Lago Sul;Realização da Festa do Círio de Nazaré na Paróquia Nossa Senhora de Nazaré;1;evento;100.000,00
144;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;VI-Planaltina;Realização da Festa da Santa Rita;1;evento;100.000,00
145;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;VI-Planaltina;Realização da Via Sacra;1;evento;300.000,00
146;Aylton Gomes;AR Itapoã;Cultura;Evento;Difusão cultural;XXVIII-Itapoã;Realização de diversos eventos culturais, sociais e desportivos;10;evento;1.000.000,00
147;Aylton Gomes;AR Taguatinga;Cultura;Evento;Difusão cultural;III-Taguatinga;Realização de diversos eventos culturais;1;evento;100.000,00
148;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;DF;Realização de diversos eventos culturais e sociais;10;evento;1.000.000,00
149;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do 2o Festival de Música Candango Cantador;1;evento;250.000,00
150;Aylton Gomes;AR Taguatinga;Cultura;Evento;Difusão cultural;III-Taguatinga;Realização de diversos eventos culturais, sociais e desportivos;10;evento;1.000.000,00
151;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;DF;Realização de diversos eventos culturais e sociais;10;evento;1.000.000,00
152;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;DF;Realização do projeto Hip Hop por toda parte;5;evento;400.000,00
153;Aylton Gomes;SE Cultura;Cultura;Evento;Difusão cultural;DF;Promoção de atividades culturais e educacionais;10;evento;1.000.000,00
154;Aylton Gomes;AR Planaltina;Agricultura ;Evento;Difusão cultural;VI-Planaltina;Realização da Festa do Pimentão no NR Taquará;1;evento;50.000,00
155;Aylton Gomes;SE Esporte;Desporto e Lazer;Evento;Desporto Comunitário;DF;Realização de diversas atividades esportivas e culturais;10;evento;400.000,00
156;Aylton Gomes;AR Planaltina;Agricultura ;Evento;Difusão cultural;VI-Planaltina;Realização da Feira do Produtor no NR Tabatinga;1;evento;50.000,00
157;Aylton Gomes;PCDF;Segurança Pública;Não é evento;Infra-Estrutura urbana;DF;Reforma e ampliação do Instituto de Identificação da PCDF;10.000;m2;200.000,00
158;Aylton Gomes;Novacap;Urbanismo;Não é evento;Desporto Comunitário;VI-Planaltina;Construção de quadra poliesportiva coberta no 9o GBM ;5.000;m2;300.000,00
159;Aylton Gomes;Novacap;Urbanismo;Não é evento;Desporto Comunitário;XIII-Santa Maria;Construção de quadra poliesportiva coberta no 18o GBM ;5.000;m2;300.000,00
160;Agaciel Maia;AR São Sebastião;Desporto e Lazer;Não é evento;Desporto Comunitário;XIV-São Sebastião;Construção de campo de grama sintética ;7.000;m2;1.000.000,00
161;Agaciel Maia;AR São Sebastião;Urbanismo;Não é evento;Infra-Estrutura urbana;XIV-São Sebastião;Execução de obras de urbanização e infraestrutura;5.000;m2;5.000.000,00
162;Agaciel Maia;AR Núcleo Bandeirante;Urbanismo;Não é evento;Infra-Estrutura urbana;VIII-Núcleo Bandeirante;Execução de obras de urbanização e infraestrutura;500;m2;500.000,00
163;Agaciel Maia;AR Santa Maria;Urbanismo;Não é evento;Infra-Estrutura urbana;XIII-Santa Maria;Execução de obras de urbanização e infraestrutura;1.000;m2;1.000.000,00
164;Agaciel Maia;AR Itapoã;Urbanismo;Não é evento;Infra-Estrutura urbana;XXVIII-Itapoã;Execução de obras de urbanização e infraestrutura;1.000;m2;1.000.000,00
