No;Autor;UO;Função;Eh;Subfunção;Localização;Subtítulo;Qtde;Unidade;Valor
543;Prof. Israel Batista;AR Ceilândia;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Execução de obras de urbanização no P Sul;1.000;m2;350.000,00
544;Prof. Israel Batista;SE Obras;Desporto e Lazer;Não é evento;Desporto Comunitário;DF;Implantação de espaços esportivos;1;quadra;400.000,00
545;Prof. Israel Batista;AR Guará;Urbanismo;Não é evento;Infra-Estrutura urbana;X-Guará;Execução de obras de urbanização;100;m2;300.000,00
546;Prof. Israel Batista;SE Obras;Segurança Pública;Não é evento;Segurança Pública;DF;Reforma do Instituto de Identificação da PCDF ;0;Unidade não informada;200.000,00
547;Prof. Israel Batista;AR Guará;Desporto e Lazer;Não é evento;Desporto Comunitário;X-Guará;Reforma de espaços esportivos;100;m2;150.000,00
548;Prof. Israel Batista;AR Samambaia;Desporto e Lazer;Não é evento;Desporto Comunitário;XII-Samambaia;Reforma de espaços esportivos;500;m2;110.000,00
549;Prof. Israel Batista;FEPECS;Saúde;Não é evento;Gestão Man. Serv. Estado;I-Plano Piloto;Manutenção dos Serviços Administrativos Gerais da FEPECS;0;Unidade não informada;200.000,00
550;Prof. Israel Batista;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do projeto Cidades Culturais - Identidades Brasileiras;1;evento;254.000,00
551;Prof. Israel Batista;AR Samambaia;Urbanismo;Não é evento;Infra-Estrutura urbana;XII-Samambaia;Execução de obras de urbanização;1.000;m2;300.000,00
552;Prof. Israel Batista;SE Obras;Desporto e Lazer;Não é evento;Desporto Comunitário;DF;Implantação de Skate Parks;5;espaço;800.000,00
553;Prof. Israel Batista;AR Ceilândia;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Execução de obras de infra-estrutura e cercamento do Parque Ecologico - P Sul - Guariroba;100;m2;120.000,00
554;Prof. Israel Batista;PMDF;Segurança Pública;Não é evento;Gestão Man. Serv. Estado;DF;Apoio ao Programa de Ensino Profissional a Servidores da PM;1.000;pessoa;200.000,00
555;Dr Michel;PCDF;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Reforma do Prédio Próprio do Instituto de Identificação da PCDF ;1.000;m2;200.000,00
556;Dr Michel;PCDF;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Reforma do Instituto de Criminalística da PCDF ;500;m2;200.000,00
557;Dr Michel;CBMDF;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Reforma do Prédio Próprio da Banda do CBMDF;200;m2;500.000,00
558;Dr Michel;AR Sobradinho II;Desporto e Lazer;Evento;Lazer;XXVI-Sobradinho II;Apoio a atividades esportivas;10;evento;200.000,00
559;Dr Michel;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio às atividades artísticas e de cultura popular vinculadas a Centro de Tradições Populares;1;evento;100.000,00
560;Dr Michel;AR Ceilândia;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à Festa do Trabalhador do P Norte;1;evento;100.000,00
